layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.10.attention.output.dense.weight,attention,10,768,768,768,422.8928,0.5506,17.7897,0.0232,51.3853,0.0669,4.561237,1.081429,160,0.2083,249,0.3242,436,0.5677,0.900241,0.821186,0.715476,0.604638,0.488294
bert.encoder.layer.10.intermediate.dense.weight,ffn,10,3072,768,768,554.1544,0.7216,10.5788,0.0138,33.9079,0.0442,11.059844,3.4004,269,0.3503,417,0.543,648,0.8438,0.836587,0.765233,0.68911,0.611032,0.530789
bert.encoder.layer.10.output.dense.weight,ffn,10,768,3072,768,519.952,0.677,4.5413,0.0059,16.4889,0.0215,9.944873,4.666674,204,0.2656,354,0.4609,617,0.8034,0.8037,0.731511,0.644487,0.559232,0.474745
bert.encoder.layer.11.attention.self.query.weight,attention,11,768,768,768,391.79,0.5101,5.8392,0.0076,17.5239,0.0228,5.688658,2.354152,119,0.1549,206,0.2682,403,0.5247,0.762348,0.676905,0.5893,0.504093,0.41031
bert.encoder.layer.11.attention.self.key.weight,attention,11,768,768,768,390.0408,0.5079,8.1782,0.0106,27.0015,0.0352,5.931337,2.074077,123,0.1602,208,0.2708,402,0.5234,0.824947,0.741446,0.642669,0.534889,0.423116
bert.encoder.layer.11.attention.self.value.weight,attention,11,768,768,768,376.5207,0.4903,12.0451,0.0157,31.4278,0.0409,4.498802,1.29626,110,0.1432,193,0.2513,389,0.5065,0.843248,0.750594,0.634354,0.516816,0.404041
bert.encoder.layer.11.attention.output.dense.weight,attention,11,768,768,768,371.3466,0.4835,6.5369,0.0085,16.7946,0.0219,4.398089,1.720191,95,0.1237,182,0.237,389,0.5065,0.757615,0.635174,0.523021,0.44485,0.36495
bert.encoder.layer.11.intermediate.dense.weight,ffn,11,3072,768,768,509.9414,0.664,3.2383,0.0042,8.6307,0.0112,10.72424,5.959469,175,0.2279,326,0.4245,601,0.7826,0.684283,0.609318,0.553834,0.495165,0.431067
bert.encoder.layer.11.output.dense.weight,ffn,11,768,3072,768,476.0362,0.6198,4.7016,0.0061,12.7487,0.0166,8.549318,3.94285,130,0.1693,287,0.3737,585,0.7617,0.724834,0.597341,0.512474,0.441821,0.381128
bert.pooler.dense.weight,other,-1,768,768,768,274.0911,0.3569,3.8605,0.005,6.7711,0.0088,5.595843,2.848017,20,0.026,61,0.0794,262,0.3411,0.545903,0.434733,0.335115,0.27267,0.219337
classifier.weight,classifier,-1,4,768,4,3.9899,0.9975,3.3751,0.8438,3.9204,0.9801,1.503231,0.818246,4,1.0,4,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0
