layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.7.attention.self.value.weight,attention,7,768,768,768,454.7588,0.5921,10.3685,0.0135,49.5395,0.0645,2.237201,0.694779,196,0.2552,284,0.3698,461,0.6003,0.885168,0.831106,0.759689,0.667511,0.552859
bert.encoder.layer.7.attention.output.dense.weight,attention,7,768,768,768,443.1982,0.5771,8.5835,0.0112,39.7304,0.0517,2.213295,0.755454,182,0.237,270,0.3516,451,0.5872,0.874904,0.809725,0.731392,0.639579,0.527454
bert.encoder.layer.7.intermediate.dense.weight,ffn,7,3072,768,768,592.104,0.771,8.8195,0.0115,48.2058,0.0628,4.675566,1.574388,326,0.4245,456,0.5938,659,0.8581,0.883393,0.840735,0.784505,0.719721,0.63376
bert.encoder.layer.7.output.dense.weight,ffn,7,768,3072,768,544.8943,0.7095,6.2479,0.0081,24.5186,0.0319,4.109171,1.643951,249,0.3242,389,0.5065,628,0.8177,0.825984,0.751868,0.685565,0.613991,0.530167
bert.encoder.layer.8.attention.self.query.weight,attention,8,768,768,768,389.7486,0.5075,6.356,0.0083,23.8627,0.0311,2.377023,0.942848,128,0.1667,208,0.2708,393,0.5117,0.82067,0.744087,0.653313,0.551787,0.440666
bert.encoder.layer.8.attention.self.key.weight,attention,8,768,768,768,404.7802,0.5271,6.5196,0.0085,26.3913,0.0344,2.34913,0.92002,145,0.1888,226,0.2943,408,0.5312,0.83389,0.765607,0.683646,0.584725,0.469453
bert.encoder.layer.8.attention.self.value.weight,attention,8,768,768,768,426.2392,0.555,14.5266,0.0189,48.7423,0.0635,2.092267,0.548953,167,0.2174,251,0.3268,432,0.5625,0.884124,0.811383,0.724618,0.630406,0.513556
bert.encoder.layer.8.attention.output.dense.weight,attention,8,768,768,768,414.4435,0.5396,11.8706,0.0155,42.3474,0.0551,2.108188,0.611889,154,0.2005,237,0.3086,421,0.5482,0.874215,0.79886,0.705307,0.60492,0.487425
bert.encoder.layer.8.intermediate.dense.weight,ffn,8,3072,768,768,581.3781,0.757,9.1764,0.0119,44.8488,0.0584,4.578974,1.511585,310,0.4036,443,0.5768,654,0.8516,0.873797,0.82285,0.760095,0.692894,0.607919
bert.encoder.layer.8.output.dense.weight,ffn,8,768,3072,768,525.2233,0.6839,5.5005,0.0072,19.3554,0.0252,4.004691,1.707525,216,0.2812,357,0.4648,611,0.7956,0.800087,0.729547,0.653293,0.577672,0.493892
bert.encoder.layer.9.attention.self.query.weight,attention,9,768,768,768,386.6786,0.5035,5.6105,0.0073,19.8034,0.0258,2.418412,1.021006,123,0.1602,203,0.2643,390,0.5078,0.800785,0.725824,0.63471,0.536159,0.428512
bert.encoder.layer.9.attention.self.key.weight,attention,9,768,768,768,387.9147,0.5051,7.6417,0.01,27.1018,0.0353,2.378952,0.860579,127,0.1654,207,0.2695,393,0.5117,0.832027,0.748081,0.646921,0.54846,0.4371
bert.encoder.layer.9.attention.self.value.weight,attention,9,768,768,768,408.1165,0.5314,15.8154,0.0206,44.0752,0.0574,2.030672,0.510623,148,0.1927,232,0.3021,416,0.5417,0.882074,0.795796,0.694736,0.590371,0.475075
bert.encoder.layer.9.attention.output.dense.weight,attention,9,768,768,768,399.2454,0.5199,13.6156,0.0177,37.4255,0.0487,2.071219,0.561317,138,0.1797,220,0.2865,406,0.5286,0.863785,0.770476,0.6735,0.571265,0.457496
bert.encoder.layer.9.intermediate.dense.weight,ffn,9,3072,768,768,546.0284,0.711,7.9237,0.0103,30.8546,0.0402,4.570745,1.623765,253,0.3294,392,0.5104,630,0.8203,0.838673,0.762035,0.694855,0.620968,0.537711
bert.encoder.layer.9.output.dense.weight,ffn,9,768,3072,768,514.1596,0.6695,6.5255,0.0085,23.6457,0.0308,3.833598,1.500719,203,0.2643,343,0.4466,602,0.7839,0.816599,0.737876,0.654677,0.568946,0.482597
bert.encoder.layer.10.attention.self.query.weight,attention,10,768,768,768,378.1483,0.4924,5.7688,0.0075,20.1691,0.0263,2.249089,0.936407,115,0.1497,193,0.2513,382,0.4974,0.800139,0.715947,0.624245,0.523281,0.414944
bert.encoder.layer.10.attention.self.key.weight,attention,10,768,768,768,386.5553,0.5033,7.9927,0.0104,27.7822,0.0362,2.230252,0.788872,126,0.1641,205,0.2669,391,0.5091,0.830233,0.749151,0.6566,0.55042,0.435691
bert.encoder.layer.10.attention.self.value.weight,attention,10,768,768,768,385.0081,0.5013,12.7444,0.0166,34.5304,0.045,1.885907,0.528276,125,0.1628,203,0.2643,391,0.5091,0.854901,0.761282,0.659064,0.549947,0.436151
bert.encoder.layer.10.attention.output.dense.weight,attention,10,768,768,768,387.997,0.5052,13.2145,0.0172,33.6713,0.0438,1.949568,0.536306,127,0.1654,207,0.2695,394,0.513,0.855094,0.751706,0.651905,0.547106,0.436826
bert.encoder.layer.10.intermediate.dense.weight,ffn,10,3072,768,768,519.1354,0.676,9.3536,0.0122,27.1567,0.0354,4.491834,1.468705,210,0.2734,351,0.457,608,0.7917,0.819326,0.722291,0.649395,0.575172,0.490727
bert.encoder.layer.10.output.dense.weight,ffn,10,768,3072,768,485.0312,0.6316,5.7069,0.0074,19.067,0.0248,3.79681,1.589353,161,0.2096,295,0.3841,572,0.7448,0.794203,0.690804,0.603919,0.519973,0.437527
bert.encoder.layer.11.attention.self.query.weight,attention,11,768,768,768,361.178,0.4703,5.0859,0.0066,15.7702,0.0205,2.343424,1.039126,99,0.1289,173,0.2253,361,0.4701,0.761625,0.665011,0.57866,0.484204,0.383356
bert.encoder.layer.11.attention.self.key.weight,attention,11,768,768,768,375.4149,0.4888,6.2702,0.0082,21.1679,0.0276,2.427513,0.96944,111,0.1445,191,0.2487,381,0.4961,0.801777,0.714345,0.615166,0.511678,0.40617
bert.encoder.layer.11.attention.self.value.weight,attention,11,768,768,768,325.8253,0.4243,8.189,0.0107,17.0788,0.0222,1.974298,0.689919,73,0.0951,135,0.1758,319,0.4154,0.760173,0.620515,0.527636,0.43472,0.335647
bert.encoder.layer.11.attention.output.dense.weight,attention,11,768,768,768,311.3119,0.4054,7.686,0.01,14.5189,0.0189,2.04975,0.73935,57,0.0742,118,0.1536,306,0.3984,0.735141,0.573284,0.465222,0.384494,0.301368
bert.encoder.layer.11.intermediate.dense.weight,ffn,11,3072,768,768,465.0725,0.6056,8.1602,0.0106,18.1744,0.0237,4.379735,1.533192,133,0.1732,262,0.3411,551,0.7174,0.769161,0.636604,0.550993,0.479627,0.403971
bert.encoder.layer.11.output.dense.weight,ffn,11,768,3072,768,386.5769,0.5034,6.2552,0.0081,12.0446,0.0157,3.848077,1.53859,39,0.0508,142,0.1849,469,0.6107,0.709503,0.503147,0.397786,0.329582,0.281429
bert.pooler.dense.weight,other,-1,768,768,768,197.7355,0.2575,3.9511,0.0051,6.0465,0.0079,3.086994,1.553022,7,0.0091,18,0.0234,147,0.1914,0.492764,0.29485,0.231751,0.182985,0.145442
classifier.weight,classifier,-1,6,768,6,5.9945,0.9991,5.2897,0.8816,5.9567,0.9928,1.967148,0.855306,6,1.0,6,1.0,6,1.0,0.546729,0.0,0.0,0.0,0.0
