layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
distilbert.transformer.layer.4.attention.q_lin.weight,attention,4,768,768,768,403.2144,0.525,11.7934,0.0154,37.1614,0.0484,5.104459,1.486384,140,0.1823,224,0.2917,412,0.5365,0.859323,0.774998,0.683707,0.579342,0.461
distilbert.transformer.layer.4.attention.k_lin.weight,attention,4,768,768,768,402.9674,0.5247,16.8484,0.0219,48.9325,0.0637,4.988983,1.215438,144,0.1875,226,0.2943,411,0.5352,0.891423,0.817715,0.713638,0.595686,0.469391
distilbert.transformer.layer.4.attention.v_lin.weight,attention,4,768,768,768,397.5873,0.5177,14.8637,0.0194,47.4918,0.0618,4.254452,1.103519,139,0.181,218,0.2839,402,0.5234,0.886194,0.812465,0.716111,0.601561,0.471445
distilbert.transformer.layer.4.attention.out_lin.weight,attention,4,768,768,768,359.7847,0.4685,9.2327,0.012,27.1437,0.0353,4.215051,1.387196,103,0.1341,174,0.2266,361,0.4701,0.826092,0.735542,0.628263,0.515717,0.397622
distilbert.transformer.layer.4.ffn.lin1.weight,ffn,4,3072,768,768,507.5698,0.6609,6.5002,0.0085,24.2283,0.0315,9.451177,3.707006,195,0.2539,328,0.4271,590,0.7682,0.817065,0.738359,0.656502,0.57447,0.484646
distilbert.transformer.layer.4.ffn.lin2.weight,ffn,4,768,3072,768,485.9472,0.6327,4.6102,0.006,15.0642,0.0196,8.108895,3.776592,156,0.2031,291,0.3789,572,0.7448,0.766478,0.685399,0.60843,0.524717,0.437259
distilbert.transformer.layer.5.attention.q_lin.weight,attention,5,768,768,768,359.9395,0.4687,6.0086,0.0078,17.6116,0.0229,4.84626,1.977059,95,0.1237,170,0.2214,364,0.474,0.763052,0.668951,0.572563,0.476785,0.376206
distilbert.transformer.layer.5.attention.k_lin.weight,attention,5,768,768,768,371.9001,0.4842,10.2109,0.0133,29.0642,0.0378,4.995248,1.563238,111,0.1445,188,0.2448,377,0.4909,0.833874,0.739924,0.638148,0.525102,0.410049
distilbert.transformer.layer.5.attention.v_lin.weight,attention,5,768,768,768,300.8132,0.3917,6.1176,0.008,14.3559,0.0187,3.907483,1.579816,54,0.0703,106,0.138,290,0.3776,0.718006,0.609235,0.496783,0.390796,0.291833
distilbert.transformer.layer.5.attention.out_lin.weight,attention,5,768,768,768,294.393,0.3833,5.5217,0.0072,11.3594,0.0148,3.835263,1.632141,41,0.0534,96,0.125,287,0.3737,0.671488,0.537438,0.414176,0.33897,0.267755
distilbert.transformer.layer.5.ffn.lin1.weight,ffn,5,3072,768,768,404.4302,0.5266,2.3339,0.003,5.025,0.0065,8.580325,5.616449,66,0.0859,151,0.1966,441,0.5742,0.617606,0.536264,0.462752,0.393001,0.319189
distilbert.transformer.layer.5.ffn.lin2.weight,ffn,5,768,3072,768,479.9282,0.6249,4.5399,0.0059,14.02,0.0183,6.431508,3.018491,150,0.1953,282,0.3672,564,0.7344,0.744548,0.663,0.574207,0.498091,0.421405
pre_classifier.weight,classifier,-1,768,768,768,614.3226,0.7999,74.7408,0.0973,348.8701,0.4543,22.064943,2.552254,388,0.5052,464,0.6042,590,0.7682,0.97958,0.968875,0.949372,0.91244,0.843236
classifier.weight,classifier,-1,4,768,4,3.9863,0.9966,3.0855,0.7714,3.8827,0.9707,1.692652,0.963624,4,1.0,4,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0
